pair_id,total_frames,mask_found,severe_count,severe_ratio,suspect_count,suspect_ratio,median_primary_lap,median_primary_ten
pair00,240,240,4,0.016666666666666666,7,0.029166666666666667,240.05308220435248,5078.5099279170845
pair01,240,240,2,0.008333333333333333,7,0.029166666666666667,122.86415187523292,3436.8099944982227
pair02,240,240,22,0.09166666666666666,25,0.10416666666666667,144.50986779484765,3453.743731193076
pair09,235,235,0,0.0,50,0.2127659574468085,242.3407579087022,5361.849513113089
pair10,230,230,2,0.008695652173913044,4,0.017391304347826087,88.88193495175592,2340.257490239849
pair12,240,240,2,0.008333333333333333,5,0.020833333333333332,110.9543359673439,3147.902633367115
pair14,240,240,10,0.041666666666666664,11,0.04583333333333333,332.4085692529981,6085.658640980968
pair16,240,240,21,0.0875,24,0.1,132.76981122476354,3472.262617987236
pair22,240,240,35,0.14583333333333334,43,0.17916666666666667,84.79611597925185,1836.9468893217606
pair28,240,240,0,0.0,0,0.0,226.0972151673604,5918.758783100609
