video_id,total_frames,mask_found,severe_count,severe_ratio,suspect_count,suspect_ratio,median_primary_lap,median_primary_ten
00001,127,127,0,0.0,1,0.007874015748031496,90.87273846496126,2614.2375289343718
00002,223,223,0,0.0,0,0.0,117.2837816525236,2979.193373411041
00003,59,59,4,0.06779661016949153,12,0.2033898305084746,48.52263864066652,3057.1665036022414
00004,68,68,13,0.19117647058823528,17,0.25,61.595247976306126,3056.0836146907786
00005,408,408,30,0.07352941176470588,40,0.09803921568627451,50.46417688271687,3150.161755637597
00006,402,402,11,0.02736318407960199,43,0.10696517412935323,64.36852951448624,2601.6737924022223
00007,382,382,127,0.3324607329842932,150,0.39267015706806285,127.39169138431697,3102.5794898834583
00008,235,235,24,0.10212765957446808,60,0.2553191489361702,44.09729946408973,2660.141743631625
00009,116,116,0,0.0,0,0.0,72.82464929876517,2804.0640338679614
00010,72,72,0,0.0,5,0.06944444444444445,31.26045807163378,3222.0747558440726
00011,285,285,30,0.10526315789473684,141,0.49473684210526314,36.07950068850723,2209.8066439607087
00012,411,411,33,0.08029197080291971,122,0.29683698296836986,42.14012011856285,2453.8658403732707
00013,80,80,0,0.0,21,0.2625,40.959693155519744,2369.518844823705
00014,73,73,0,0.0,0,0.0,63.680186818320706,4886.012909927289
00015,61,61,0,0.0,0,0.0,95.97079335417102,4892.660049578973
00016,54,54,0,0.0,0,0.0,100.79577781193976,5040.808855022176
00017,54,54,0,0.0,0,0.0,84.23965426405685,4695.499234831479
00018,74,74,0,0.0,0,0.0,55.13102247553567,4356.910791847047
00019,271,271,20,0.07380073800738007,59,0.2177121771217712,37.233889801435204,2716.57355303209
00020,52,52,0,0.0,0,0.0,158.3075973033118,6892.051480698354
00021,154,154,4,0.025974025974025976,9,0.05844155844155844,38.605381325570235,3305.941860879816
00022,74,74,2,0.02702702702702703,6,0.08108108108108109,38.64474723434745,3506.0487674918686
00023,97,97,0,0.0,0,0.0,73.19085906358816,5835.376900793336
00024,52,52,0,0.0,0,0.0,78.234384368571,5958.66871853351
00025,80,80,0,0.0,0,0.0,88.67101033983528,6123.933098877869
00026,120,120,0,0.0,0,0.0,77.30485323223394,5571.592854584118
00027,55,55,0,0.0,0,0.0,93.97865019072019,6170.15873494828
00028,192,192,19,0.09895833333333333,62,0.3229166666666667,34.662801127633635,2629.503775267289
00029,507,507,0,0.0,3,0.005917159763313609,86.85607641357588,3714.182296431839
00030,258,258,2,0.007751937984496124,17,0.06589147286821706,66.58342460696886,3229.9473370349606
00031,508,508,0,0.0,0,0.0,140.75454468976938,7388.92202958941
00032,509,509,0,0.0,0,0.0,339.8942201455201,8449.715083904335
00033,508,508,51,0.10039370078740158,110,0.21653543307086615,51.07737287053927,2881.5102295275838
00034,508,508,0,0.0,0,0.0,318.13276554357833,12881.677810054902
00035,507,507,0,0.0,0,0.0,108.57505913899486,6097.726706727119
00036,508,508,0,0.0,0,0.0,116.34894100351059,5439.62254310971
00037,507,507,0,0.0,0,0.0,141.44521619730938,5787.653194263364
00038,501,501,0,0.0,4,0.007984031936127744,110.68891305702434,4433.952722864603
00039,506,506,0,0.0,0,0.0,617.5482667613189,15806.408053534597
00040,508,508,0,0.0,0,0.0,175.5117943851638,7543.521691187911
00041,249,249,0,0.0,1,0.004016064257028112,156.02533360465043,5575.246727489091
00042,508,508,0,0.0,4,0.007874015748031496,57.18907344095042,3814.9871629495306
00043,508,508,0,0.0,0,0.0,189.48595725912583,7073.367359611391
00044,508,508,1,0.001968503937007874,6,0.011811023622047244,78.28208553770368,2871.10288483472
00045,508,508,0,0.0,0,0.0,179.53536132488796,11476.292988345282
