dataset,path,relative_path,width,height,short_side,low_res_lt512,mask_found,person_area_ratio,full_lap,full_ten,person_lap,person_ten,primary_type,primary_lap,primary_ten,quality_rank,severe_suspect,suspect_blur
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000829.png,014_1/rgb_1024/target/target_f000829.png,1024,1024,1024,False,False,,81.28854990279069,2411.0833740234375,,,full,81.28854990279069,2411.0833740234375,7.216048491845865e-05,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000813.png,014_1/rgb_1024/target/target_f000813.png,1024,1024,1024,False,False,,81.45028655462374,2441.959686279297,,,full,81.45028655462374,2441.959686279297,0.0002886419396738346,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/source_motion/source_motion_f000679.png,014_1/rgb_1024/source_motion/source_motion_f000679.png,1024,1024,1024,False,False,,82.57994539696665,2430.6332397460938,,,full,82.57994539696665,2430.6332397460938,0.00043296290951075193,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000818.png,014_1/rgb_1024/target/target_f000818.png,1024,1024,1024,False,False,,82.03710319461243,2501.2608032226562,,,full,82.03710319461243,2501.2608032226562,0.0005772838793476692,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000684.png,014_1/rgb_1024/target/target_f000684.png,1024,1024,1024,False,False,,83.49492039506731,2544.526168823242,,,full,83.49492039506731,2544.526168823242,0.001010246788858421,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000807.png,014_1/rgb_1024/target/target_f000807.png,1024,1024,1024,False,False,,85.57910080054717,2457.004623413086,,,full,85.57910080054717,2457.004623413086,0.0012988887285322556,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/source_standard/source_standard_f000202.png,014_1/rgb_1024/source_standard/source_standard_f000202.png,1024,1024,1024,False,False,,85.6196859342599,2566.874954223633,,,full,85.6196859342599,2566.874954223633,0.0017318516380430075,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000727.png,014_1/rgb_1024/target/target_f000727.png,1024,1024,1024,False,False,,85.75885250972351,2614.0106811523438,,,full,85.75885250972351,2614.0106811523438,0.002092654062635301,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000257.png,014_1/rgb_1024/target/target_f000257.png,1024,1024,1024,False,False,,84.69102141610347,2759.5857543945312,,,full,84.69102141610347,2759.5857543945312,0.002236975032472218,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000871.png,014_1/rgb_1024/target/target_f000871.png,1024,1024,1024,False,False,,87.8864276073873,2522.9462890625,,,full,87.8864276073873,2522.9462890625,0.002236975032472218,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f001250.png,014_1/rgb_1024/target/target_f001250.png,1024,1024,1024,False,False,,85.37380936346017,2860.712692260742,,,full,85.37380936346017,2860.712692260742,0.002886419396738346,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000706.png,014_1/rgb_1024/target/target_f000706.png,1024,1024,1024,False,False,,88.49220541655086,2600.23388671875,,,full,88.49220541655086,2600.23388671875,0.0029585798816568047,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000204.png,014_1/rgb_1024/target/target_f000204.png,1024,1024,1024,False,False,,85.86207619936613,2848.4098205566406,,,full,85.86207619936613,2848.4098205566406,0.0031029008514937223,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000380.png,014_1/rgb_1024/target/target_f000380.png,1024,1024,1024,False,False,,88.25216901715612,2733.571418762207,,,full,88.25216901715612,2733.571418762207,0.003391542791167557,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000434.png,014_1/rgb_1024/target/target_f000434.png,1024,1024,1024,False,False,,89.56162150854652,2657.2784881591797,,,full,89.56162150854652,2657.2784881591797,0.004185308125270602,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f001047.png,014_1/rgb_1024/target/target_f001047.png,1024,1024,1024,False,False,,87.59962378622731,3061.240104675293,,,full,87.59962378622731,3061.240104675293,0.0044017895800259775,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000695.png,014_1/rgb_1024/target/target_f000695.png,1024,1024,1024,False,False,,89.59762938877975,2694.040283203125,,,full,89.59762938877975,2694.040283203125,0.004401789580025978,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f001010.png,014_1/rgb_1024/target/target_f001010.png,1024,1024,1024,False,False,,89.35933230501541,2716.5075912475586,,,full,89.35933230501541,2716.5075912475586,0.004473950064944436,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f001314.png,014_1/rgb_1024/target/target_f001314.png,1024,1024,1024,False,False,,87.55924603011226,3092.1381072998047,,,full,87.55924603011226,3092.1381072998047,0.004546110549862895,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f001117.png,019_2/rgb_1024/target/target_f001117.png,1024,1024,1024,False,False,,80.14413799553586,3346.281867980957,,,full,80.14413799553586,3346.281867980957,0.004546110549862895,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000877.png,014_1/rgb_1024/target/target_f000877.png,1024,1024,1024,False,False,,91.42649926658487,2474.254104614258,,,full,91.42649926658487,2474.254104614258,0.004618271034781353,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000663.png,014_1/rgb_1024/target/target_f000663.png,1024,1024,1024,False,False,,88.88912756735226,2866.4281158447266,,,full,88.88912756735226,2866.4281158447266,0.004690431519699813,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000626.png,014_1/rgb_1024/target/target_f000626.png,1024,1024,1024,False,False,,90.94211661576992,2606.649345397949,,,full,90.94211661576992,2606.649345397949,0.004834752489536729,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f000827.png,019_2/rgb_1024/target/target_f000827.png,1024,1024,1024,False,False,,84.47479895263677,3328.2296752929688,,,full,84.47479895263677,3328.2296752929688,0.005123394429210564,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_1/rgb_1024/target/target_f001252.png,019_1/rgb_1024/target/target_f001252.png,1024,1024,1024,False,False,,84.93577193153031,3313.144905090332,,,full,84.93577193153031,3313.144905090332,0.005195554914129022,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f000775.png,019_2/rgb_1024/target/target_f000775.png,1024,1024,1024,False,False,,82.57445837800333,3416.882553100586,,,full,82.57445837800333,3416.882553100586,0.005412036368884399,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f001143.png,019_2/rgb_1024/target/target_f001143.png,1024,1024,1024,False,False,,83.71387445362052,3400.5479583740234,,,full,83.71387445362052,3400.5479583740234,0.005556357338721316,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000951.png,014_1/rgb_1024/target/target_f000951.png,1024,1024,1024,False,False,,91.36670296998636,2773.355224609375,,,full,91.36670296998636,2773.355224609375,0.005772838793476692,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f001021.png,014_1/rgb_1024/target/target_f001021.png,1024,1024,1024,False,False,,91.75687505862152,2700.4716720581055,,,full,91.75687505862152,2700.4716720581055,0.005844999278395151,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000674.png,014_1/rgb_1024/target/target_f000674.png,1024,1024,1024,False,False,,93.09980915806955,2590.3377685546875,,,full,93.09980915806955,2590.3377685546875,0.006277962187905902,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000861.png,014_1/rgb_1024/target/target_f000861.png,1024,1024,1024,False,False,,91.27715934434673,2982.118179321289,,,full,91.27715934434673,2982.118179321289,0.006710925097416654,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f001153.png,019_2/rgb_1024/target/target_f001153.png,1024,1024,1024,False,False,,89.21198661415838,3233.8143615722656,,,full,89.21198661415838,3233.8143615722656,0.006783085582335114,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f001037.png,014_1/rgb_1024/target/target_f001037.png,1024,1024,1024,False,False,,91.05655349079461,3051.6577758789062,,,full,91.05655349079461,3051.6577758789062,0.006855246067253571,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000989.png,014_1/rgb_1024/target/target_f000989.png,1024,1024,1024,False,False,,91.71347673557466,2974.86043548584,,,full,91.71347673557466,2974.86043548584,0.007071727522008948,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/013_1/rgb_1024/source_motion/source_motion_f000299.png,013_1/rgb_1024/source_motion/source_motion_f000299.png,1024,1024,1024,False,False,,88.67229685628263,3385.7736282348633,,,full,88.67229685628263,3385.7736282348633,0.007216048491845865,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f000801.png,019_2/rgb_1024/target/target_f000801.png,1024,1024,1024,False,False,,83.5727915497846,3472.592971801758,,,full,83.5727915497846,3472.592971801758,0.007288208976764324,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/013_1/rgb_1024/target/target_f001331.png,013_1/rgb_1024/target/target_f001331.png,1024,1024,1024,False,False,,84.84595668512338,3460.2919311523438,,,full,84.84595668512338,3460.2919311523438,0.007360369461682783,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_2/rgb_1024/target/target_f000796.png,019_2/rgb_1024/target/target_f000796.png,1024,1024,1024,False,False,,83.19264547327475,3487.7439575195312,,,full,83.19264547327475,3487.7439575195312,0.007360369461682783,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/013_1/rgb_1024/target/target_f001423.png,013_1/rgb_1024/target/target_f001423.png,1024,1024,1024,False,False,,87.78368726848565,3440.1497650146484,,,full,87.78368726848565,3440.1497650146484,0.0075046904315197,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000711.png,014_1/rgb_1024/target/target_f000711.png,1024,1024,1024,False,False,,94.8000061949133,2689.8609924316406,,,full,94.8000061949133,2689.8609924316406,0.0075046904315197,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/014_1/rgb_1024/target/target_f000866.png,014_1/rgb_1024/target/target_f000866.png,1024,1024,1024,False,False,,93.72591781021038,2862.5178985595703,,,full,93.72591781021038,2862.5178985595703,0.007865492856111992,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/019_1/rgb_1024/target/target_f000942.png,019_1/rgb_1024/target/target_f000942.png,1024,1024,1024,False,False,,89.62130683660507,3396.60018157959,,,full,89.62130683660507,3396.60018157959,0.008226295280704288,True,True
iPER,/home/shangguanrz/project/pic-edit/datasets/iPER/iper_sampled_6src64tgt/013_1/rgb_1024/target/target_f000316.png,013_1/rgb_1024/target/target_f000316.png,1024,1024,1024,False,False,,88.10647022257035,3459.11572265625,,,full,88.10647022257035,3459.11572265625,0.008298455765622745,True,True
